File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Window	Vowels_per_Second	Comments	Warnings																																		
Bill_m53_BB2015	T	End	f		615.173	615.293	NOT	615.083	615.293	AA	615.113	615.173	IY	615.293	615.392	1.039	4.812																																				
Bill_m53_BB2015	T	End	f		616.052	616.082	NOT	615.872	616.082	AA	615.922	616.052	IY	616.082	616.182	1.41	5.674																																				
Bill_m53_BB2015	T	End	f		654.598	654.628	GET	654.528	654.628	EH	654.548	654.598	AA	654.628	654.698	2.29	2.62																																				
Bill_m53_BB2015	T	End	0		688.556	688.595	IT	688.516	688.595	IH	688.516	688.556	AW	688.595	688.725	2.184	3.205																																				
Bill_m53_BB2015	T	End	g		706.939	706.998	IT	706.899	706.998	AH	706.899	706.939	EH	706.998	707.108	1.351	7.402																																				
Bill_m53_BB2015	T	End	g		712.41	712.44	BUT	712.23	712.44	AH	712.32	712.41	AA	712.44	712.48	1.16	6.897																																				
Bill_m53_BB2015	T	Internal	f	b	2162.532	2162.562	GOTTA	2162.453	2162.612	AA	2162.483	2162.532	AH	2162.562	2162.612	1.271	7.081																																				
Bill_m53_BB2015	T	Internal	f	b	2164.288	2164.319	GOTTA	2164.219	2164.348	AA	2164.239	2164.288	AH	2164.319	2164.348	0.779	8.986																																				
Bill_m53_BB2015	T	End	g		714.692	714.722	NOT	714.561	714.722	AA	714.611	714.692	AH	714.722	714.751	1.6	8.125																																				
Bill_m53_BB2015	T	End	g		723.202	723.232	THAT	723.072	723.232	AH	723.102	723.202	AH	723.232	723.262	1.949	6.157																																				
Bill_m53_BB2015	T	End	g		732.251	732.28	ALRIGHT	731.97	732.28	AY	732.14	732.251	IY	732.28	732.31	1.05	7.619																																				
Bill_m53_BB2015	T	End	t		733.841	733.98	TOLERATE	733.39	733.98	EY	733.71	733.841	AH	733.98	734.041	1.239	5.65																																				
Bill_m53_BB2015	T	End	g		755.582	755.612	NOT	755.422	755.612	AO	755.472	755.582	IY	755.612	755.762	1.776	2.815																																				
Bill_m53_BB2015	T	End	g		756.579	756.609	NOT	756.518	756.609	AA	756.549	756.579	AH	756.609	756.639	1.165	5.15																																				
